datetime,rainfall,airtemp,airhum,windspeed,windir,airpress,uvrad,DoY,Jam
2022-09-10 02:00:00,0.0,23.6,94.92,0.0,0.47165229356133864,1009.7,0.0,-0.22054128517162724,-0.4161468365471424
2022-09-10 03:00:00,0.0,23.6,94.92,0.0,0.47165229356133864,1009.62,0.0,-0.22054128517162724,-0.9899924966004454
2022-09-10 04:00:00,0.2,23.5,94.92,0.2,0.32578130553514806,1009.82,0.0,-0.22054128517162724,-0.6536436208636119
2022-09-10 05:00:00,1.0,23.4,94.92,0.0,0.32578130553514806,1010.0,0.0,-0.22054128517162724,0.28366218546322625
2022-09-10 06:00:00,0.2,23.4,94.92,0.09,0.9756226979194443,1010.4,0.0,-0.22054128517162724,0.960170286650366
2022-09-10 07:00:00,0.2,23.8,94.92,0.4,0.9756226979194443,1011.14,0.0,-0.22054128517162724,0.7539022543433046
2022-09-10 08:00:00,0.0,24.8,94.92,1.52,0.9756226979194443,1011.5,0.0,-0.22054128517162724,-0.14550003380861354
2022-09-10 09:00:00,0.0,26.1,94.92,2.62,-0.21513470736462095,1012.08,0.0,-0.22054128517162724,-0.9111302618846769
2022-09-10 10:00:00,0.0,28.1,87.62,4.95,0.32578130553514806,1011.9,0.0,-0.22054128517162724,-0.8390715290764524
2022-09-10 11:00:00,0.0,30.1,77.68,5.22,-0.5697255608391865,1010.4,0.0,-0.22054128517162724,0.004425697988050785
2022-09-10 12:00:00,0.2,29.8,74.16,7.76,-0.5984600690578581,1009.42,0.0,-0.22054128517162724,0.8438539587324921
2022-09-10 13:00:00,,,,,,,,-0.22054128517162724,0.9074467814501962
2022-09-10 14:00:00,,,,,,,,-0.22054128517162724,0.1367372182078336
2022-09-10 15:00:00,,,,,,,,-0.22054128517162724,-0.7596879128588213
2022-09-10 16:00:00,,,,,,,,-0.22054128517162724,-0.9576594803233847
2022-09-10 17:00:00,,,,,,,,-0.22054128517162724,-0.27516333805159693
2022-09-10 18:00:00,,,,,,,,-0.22054128517162724,0.6603167082440802
2022-09-10 19:00:00,,,,,,,,-0.22054128517162724,0.9887046181866692
2022-09-10 20:00:00,,,,,,,,-0.22054128517162724,0.40808206181339196
2022-09-10 21:00:00,,,,,,,,-0.22054128517162724,-0.5477292602242684
2022-09-10 22:00:00,,,,,,,,-0.22054128517162724,-0.9999608263946371
2022-09-10 23:00:00,,,,,,,,-0.22054128517162724,-0.5328330203333975
2022-09-11 00:00:00,,,,,,,,0.6917661564259767,1.0
2022-09-11 01:00:00,,,,,,,,0.6917661564259767,0.5403023058681398
2022-09-11 02:00:00,,,,,,,,0.6917661564259767,-0.4161468365471424
2022-09-11 03:00:00,,,,,,,,0.6917661564259767,-0.9899924966004454
2022-09-11 04:00:00,,,,,,,,0.6917661564259767,-0.6536436208636119
2022-09-11 05:00:00,,,,,,,,0.6917661564259767,0.28366218546322625
2022-09-11 06:00:00,,,,,,,,0.6917661564259767,0.960170286650366
2022-09-11 07:00:00,,,,,,,,0.6917661564259767,0.7539022543433046
2022-09-11 08:00:00,,,,,,,,0.6917661564259767,-0.14550003380861354
2022-09-11 09:00:00,,,,,,,,0.6917661564259767,-0.9111302618846769
2022-09-11 10:00:00,,,,,,,,0.6917661564259767,-0.8390715290764524
2022-09-11 11:00:00,,,,,,,,0.6917661564259767,0.004425697988050785
2022-09-11 12:00:00,,,,,,,,0.6917661564259767,0.8438539587324921
2022-09-11 13:00:00,,,,,,,,0.6917661564259767,0.9074467814501962
2022-09-11 14:00:00,,,,,,,,0.6917661564259767,0.1367372182078336
2022-09-11 15:00:00,,,,,,,,0.6917661564259767,-0.7596879128588213
2022-09-11 16:00:00,,,,,,,,0.6917661564259767,-0.9576594803233847
2022-09-11 17:00:00,,,,,,,,0.6917661564259767,-0.27516333805159693
2022-09-11 18:00:00,,,,,,,,0.6917661564259767,0.6603167082440802
2022-09-11 19:00:00,,,,,,,,0.6917661564259767,0.9887046181866692
2022-09-11 20:00:00,,,,,,,,0.6917661564259767,0.40808206181339196
2022-09-11 21:00:00,,,,,,,,0.6917661564259767,-0.5477292602242684
2022-09-11 22:00:00,,,,,,,,0.6917661564259767,-0.9999608263946371
2022-09-11 23:00:00,,,,,,,,0.6917661564259767,-0.5328330203333975
2022-09-12 00:00:00,,,,,,,,0.9839443255318616,1.0
2022-09-12 01:00:00,,,,,,,,0.9839443255318616,0.5403023058681398
2022-09-12 02:00:00,,,,,,,,0.9839443255318616,-0.4161468365471424
2022-09-12 03:00:00,,,,,,,,0.9839443255318616,-0.9899924966004454
2022-09-12 04:00:00,,,,,,,,0.9839443255318616,-0.6536436208636119
2022-09-12 05:00:00,,,,,,,,0.9839443255318616,0.28366218546322625
2022-09-12 06:00:00,,,,,,,,0.9839443255318616,0.960170286650366
2022-09-12 07:00:00,,,,,,,,0.9839443255318616,0.7539022543433046
2022-09-12 08:00:00,,,,,,,,0.9839443255318616,-0.14550003380861354
2022-09-12 09:00:00,0.0,26.8,92.1,1.12,-0.31740011602352985,1010.08,0.0,0.9839443255318616,-0.9111302618846769
2022-09-12 10:00:00,0.0,27.2,90.72,3.64,-0.31740011602352985,1010.4,0.0,0.9839443255318616,-0.8390715290764524
2022-09-12 11:00:00,0.0,30.2,83.52,3.4,-0.10161569206079699,1009.58,0.0,0.9839443255318616,0.004425697988050785
2022-09-12 12:00:00,0.0,31.0,74.44,3.91,0.7362131187458456,1008.4,0.0,0.9839443255318616,0.8438539587324921
